Movie,Year,budget,runtime,genres,popularity,vote_average,vote_count,Views,Likes,Comments,IMDb_Rating,numVotes,Gross
Retribution,2023.0,0,15,Western,1.4,0.0,0,13796374.0,39529.0,2995.0,5.3,25412.0,18685751.0
Silent Night,2023.0,250,10,"Horror, Action, Animation",0.0,0.0,0,16353887.0,70376.0,5837.0,5.3,25402.0,11067228.0
Aavesham,2024.0,0,0,"Comedy, Drama",0.789,0.0,0,112879.0,1186.0,55.0,7.8,27907.0,3351953.0
Karaoké,2024.0,0,0,Comedy,0.727,0.0,0,120606.0,271.0,0.0,5.6,152.0,1404406.0
Unsung Hero,2024.0,0,0,Drama,2.962,0.0,0,516922.0,4289.0,228.0,7.0,5012.0,11013890.0
The Machine,2023.0,0,5,Science Fiction,0.703,0.0,0,2913806.0,28016.0,1759.0,5.7,17240.0,10664328.0
IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,2023.0,0,93,"Animation, Music",1.12,0.0,0,3277.0,87.0,0.0,7.4,26.0,18638991.0
Animal,2023.0,0,21,Documentary,0.957,0.0,0,112878768.0,1899425.0,72300.0,6.1,105795.0,92870227.0
Animal,2023.0,0,21,Documentary,0.957,0.0,0,112878768.0,1899425.0,72300.0,6.6,852.0,92870227.0
The Shift,2023.0,0,0,Science Fiction,2.892,0.0,0,1071770.0,9296.0,1564.0,5.5,5813.0,12238643.0
Breaking Point,2024.0,600,8,"Thriller, Drama",0.0,0.0,0,3773.0,13.0,0.0,,,3532131.0
