Unnamed: 0,Year,Movie,Video_ID,Views,Likes,Comments,IMDb_Rating,numVotes,key,Gross,clean_title
173,2023.0,After Death,wMMAnO67RPw,395739.0,4428.0,600.0,6.3,1902.0,after death,11794504.0,after death
174,2023.0,Tiger 3,vEjTUDjjU6A,82795763.0,2258100.0,172465.0,5.7,55084.0,tiger 3,11713932.0,tiger 3
175,2023.0,Face Off 6: The Ticket of Destiny,L-XhraxUsAs,176392.0,394.0,29.0,6.4,310.0,face off 6 the ticket of destiny,11538081.0,face off 6 the ticket of destiny
176,2023.0,Jungle Bunch: Operation Meltdown,uQjLlRR8xVE,29039.0,199.0,16.0,5.6,383.0,jungle bunch operation meltdown,11320037.0,jungle bunch operation meltdown
177,2023.0,Silent Night,yBnTqn0lBDA,16353887.0,70376.0,5837.0,5.3,25402.0,silent night,11067228.0,silent night
178,2023.0,What's Love Got to Do with It?,0LqOp2MNwao,2704836.0,20102.0,1106.0,,,whats love got to do with it,11065050.0,whats love got to do with it
179,2023.0,Sleep,XkSZRcbjkWA,302603.0,831.0,34.0,6.6,5998.0,sleep,10967729.0,sleep
180,2023.0,Samurai Beyond Admiration Record to the World's Best,sWDze_oS_RY,59161.0,466.0,32.0,,,samurai beyond admiration record to the worlds best,10876188.0,samurai beyond admiration record to the worlds best
181,2023.0,Honey Sweet,mNzPrb1N8SU,27147.0,115.0,7.0,6.4,328.0,honey sweet,10765835.0,honey sweet
182,2023.0,The Machine,AwDKLEaJxMk,2913806.0,28016.0,1759.0,5.7,17240.0,the machine,10664328.0,the machine
183,2023.0,After Everything,MPB5CzX-WC0,2990739.0,17687.0,664.0,4.7,10223.0,after everything,10644463.0,after everything
184,2023.0,The Nightmare Before Christmas 30th Anniversary Re-Release,MMCMm0VMKUE,2543.0,14.0,2.0,,,the nightmare before christmas 30th anniversary rerelease,10431631.0,the nightmare before christmas 30th anniversary rerelease
185,2023.0,The Crime Is Mine,PoTRUL9wheE,37588.0,252.0,20.0,6.5,6297.0,the crime is mine,10370863.0,the crime is mine
186,2023.0,Freelance,BrqWlOzm2Iw,4350739.0,11175.0,436.0,5.5,24883.0,freelance,10212160.0,freelance
187,2023.0,Les Segpa au ski,o6XVuWUWE14,314486.0,1908.0,316.0,3.9,191.0,les segpa au ski,10203901.0,les segpa au ski
